Status,Action,File,Type,Priority,Complexity,Current State,Target State,Tests to Update,Rollback Strategy
DONE,CREATE,nbs/avis_critiques_parser.py,New,HIGH,High,N/A,Parser pour extraire livres/auteurs des avis critiques existants - Implémenté avec succès: extraction tableaux markdown filtrage lignes génériques validation robuste tests unitaires complets,Nouveaux tests unitaires pour parser - DONE (10 tests tous OK),Suppression du fichier
DONE,CREATE,nbs/mongo_episode_livre.py,New,HIGH,Medium,N/A,Classe EpisodeLivre pour gérer collection episode_livres - Implémenté avec succès: héritage BaseEntity méthodes recherche/intégration métadonnées optimisées extraction depuis parser tests unitaires complets intégration validée,Nouveaux tests unitaires pour EpisodeLivre - DONE (12 tests tous OK),Suppression du fichier + drop collection
DONE,CREATE,nbs/avis_search.py,New,HIGH,Medium,N/A,Moteur de recherche autocomplete fuzzy - Implémenté avec succès: recherche fuzzy thefuzz cache Streamlit MongoDB aggregation méthodes search_combined/get_book_episodes/fuzzy_search tests unitaires complets,Nouveaux tests unitaires pour recherche - DONE (15 tests tous OK),Suppression du fichier
DONE,CREATE,scripts/migrate_avis_to_episode_livres.py,New,HIGH,High,N/A,Script de migration one-shot des avis existants - Implémenté avec succès: migration robuste Episodes/EpisodeLivre dry-run/production logging détaillé validation post-migration gestion erreurs tests unitaires compatibilité MongoDB,Tests de validation migration - DONE (17/17 tests OK + intégration validée),Suppression du fichier + drop collection
DONE,CREATE,ui/components/book_autocomplete.py,New,MEDIUM,Medium,N/A,Composant Streamlit pour autocomplétion livre/auteur - Implémenté avec succès: interface utilisateur moderne recherche temps-réel configuration flexible affichage épisodes automatique intégration AvisSearchEngine patterns Streamlit cohérents tests unitaires complets fonctions helper réutilisables,Tests UI nouveaux - DONE (18 tests tous OK + démo fonctionnelle),Suppression du fichier
DONE,REFACTOR,ui/pages/4_avis_critiques.py,Refactor,HIGH,High,Page unique navigation épisodes,Page avec onglets Par Episode/Par Livre-Auteur - Implémenté avec succès: refactorisation clean avec st.tabs() onglet Episode préserve fonctionnalité existante onglet Livre-Auteur intègre BookAutocompleteComponent import conditionnel gestion erreurs gracieuse tests non-régression complets rétrocompatibilité 100% VALIDATION STREAMLIT RÉUSSIE,Tests non-régression onglet Episode - DONE (9 tests tous OK + démo validée + test Streamlit réel OK),Git revert vers version précédente
TODO,CREATE,scripts/create_mongodb_indexes.py,New,MEDIUM,Low,N/A,Script création index MongoDB optimisés,Tests performance requêtes,Suppression index + fichier
TODO,CREATE,tests/test_avis_parser.py,New,MEDIUM,Medium,N/A,Tests unitaires parser avis critiques,N/A,Suppression du fichier
TODO,CREATE,tests/test_episode_livre.py,New,MEDIUM,Medium,N/A,Tests unitaires classe EpisodeLivre,N/A,Suppression du fichier
TODO,CREATE,tests/test_avis_search.py,New,MEDIUM,Medium,N/A,Tests unitaires moteur recherche,N/A,Suppression du fichier
TODO,MODIFY,ui/pages/2_auteurs.py,Update,LOW,Low,Page simple affichage auteurs,Ajout liens vers avis critiques si disponibles,Tests existants + nouveaux,Git revert modifs
TODO,MODIFY,ui/pages/3_livres.py,Update,LOW,Low,Page simple affichage livres,Ajout liens vers avis critiques si disponibles,Tests existants + nouveaux,Git revert modifs
TODO,CREATE,docs/recherche_avis.md,New,LOW,Low,N/A,Documentation utilisateur nouvelle fonctionnalité,N/A,Suppression du fichier
